query_id,retrieval_strategy,alpha,top_k,retrieval_latency_ms
INT2-Q-FLEXI,lexical_only,,5,0.0276
INT2-Q-FLEXI,semantic_only,,1,0.0929
INT2-Q-FLEXI,semantic_only,,2,0.0883
INT2-Q-FLEXI,semantic_only,,3,0.0885
INT2-Q-FLEXI,semantic_only,,5,0.0881
INT2-Q-FLEXI,hybrid,0.0,1,0.1364
INT2-Q-FLEXI,hybrid,0.0,2,0.114
INT2-Q-FLEXI,hybrid,0.0,3,0.1181
INT2-Q-FLEXI,hybrid,0.0,5,0.1513
INT2-Q-FLEXI,hybrid,0.25,1,0.1156
INT2-Q-FLEXI,hybrid,0.25,2,0.1125
INT2-Q-FLEXI,hybrid,0.25,3,0.1182
INT2-Q-FLEXI,hybrid,0.25,5,0.1128
INT2-Q-FLEXI,hybrid,0.5,1,0.1135
INT2-Q-FLEXI,hybrid,0.5,2,0.1137
INT2-Q-FLEXI,hybrid,0.5,3,0.1126
INT2-Q-FLEXI,hybrid,0.5,5,0.1143
INT2-Q-FLEXI,hybrid,0.75,1,0.113
INT2-Q-FLEXI,hybrid,0.75,2,0.1125
INT2-Q-FLEXI,hybrid,0.75,3,0.1119
INT2-Q-FLEXI,hybrid,0.75,5,0.1196
INT2-Q-FLEXI,hybrid,1.0,1,0.1125
INT2-Q-FLEXI,hybrid,1.0,2,0.1132
INT2-Q-FLEXI,hybrid,1.0,3,0.1112
INT2-Q-FLEXI,hybrid,1.0,5,0.1107
